0.856,3.802,1.328,0.824,1.263,3.571,5,A
1.51,5.221,2.015,1.053,1.35,5.029,2,A
0.751,3.664,1.328,0.733,1.337,3.407,4,A
0.808,3.893,1.42,0.916,1.404,3.608,6,A
0.963,4.214,1.603,0.824,1.379,3.99,3,A
1.198,4.58,1.74,1.008,1.31,4.373,2,A
1.168,4.305,1.603,0.962,1.186,4.173,2,A
0.598,3.16,1.237,0.641,1.249,3.061,2,A
1.487,4.992,1.969,1.053,1.253,4.865,2,A
0.856,3.647,1.42,0.824,1.293,3.681,3,A
1.269,4.534,1.74,1.008,1.212,4.464,2,A
1.359,4.855,1.786,1.053,1.297,4.592,3,A
0.965,3.939,1.42,0.916,1.203,3.808,2,A
1.382,4.855,1.878,1.008,1.275,4.683,2,A
1.286,5.038,1.924,0.962,1.476,4.701,2,A
0.917,4.031,1.511,0.87,1.325,3.845,4,A
1.171,4.397,1.557,1.053,1.235,4.136,5,A
1.003,4.351,1.695,0.87,1.412,4.173,2,A
1.267,4.534,1.557,1.099,1.214,4.3,4,A
1.71,5.221,1.924,1.237,1.193,5.011,2,A
3.075,7.42,2.84,1.466,1.339,7.143,2,B
3.363,7.832,2.977,1.603,1.364,7.562,2,B
2.706,6.962,2.702,1.42,1.34,6.76,2,B
2.842,7.099,2.702,1.511,1.326,6.888,2,B
3.608,7.649,2.84,1.557,1.213,7.489,2,B
2.314,6.321,2.473,1.237,1.291,6.159,2,B
2.125,6.595,2.656,1.145,1.531,6.359,2,B
2.301,6.779,2.748,1.099,1.493,6.523,2,B
2.482,6.916,2.84,1.282,1.442,6.742,2,B
3.128,7.832,2.931,1.557,1.467,7.543,2,B
2.643,6.779,2.519,1.511,1.3,6.45,2,B
2.498,6.779,2.656,1.191,1.375,6.541,2,B
2.767,7.053,2.748,1.42,1.345,6.888,2,B
3.065,7.557,2.931,1.374,1.394,7.288,2,B
3.371,7.328,2.611,1.74,1.191,7.143,2,B
2.446,6.504,2.473,1.328,1.293,6.286,2,B
2.48,6.366,2.427,1.374,1.223,6.286,2,B
2.545,6.55,2.382,1.466,1.261,6.377,2,B
2.874,7.191,2.748,1.511,1.346,7.015,2,B
2.358,6.824,2.702,1.099,1.477,6.614,2,B
1.601,4.947,1.786,1.282,1.143,4.774,3,C
1.819,5.221,1.832,1.374,1.121,5.029,2,C
1.21,4.534,1.74,0.962,1.27,4.391,2,C
